
t is 0; x is 0
t is 2.15; x is -0.234684
t is 2.16; x is -0.213812
t is 2.17; x is -0.193898
t is 2.18; x is -0.174946
t is 2.19; x is -0.156959
t is 2.2; x is -0.13994
t is 2.21; x is -0.123891
t is 2.22; x is -0.108815
t is 2.23; x is -0.0947123
t is 2.24; x is -0.0815857
t is 2.25; x is -0.0694357
t is 2.26; x is -0.0582634
t is 2.27; x is -0.0480695
t is 2.28; x is -0.0388543
t is 2.29; x is -0.0306185
t is 2.3; x is -0.0233621
t is 2.31; x is -0.0170855
t is 2.32; x is -0.0117887
t is 2.33; x is -0.00747191
t is 2.34; x is -0.00413504
t is 2.35; x is -0.00177817
t is 2.36; x is -0.0004013
t is 2.37; x is -4.42653e-06
t is 2.38; x is -0.000587553
t is 2.39; x is -0.00215068
t is 2.4; x is -0.0046938
t is 2.41; x is -0.00821691
t is 2.42; x is -0.01272
t is 2.43; x is -0.018203
t is 2.44; x is -0.0246658
t is 2.45; x is -0.0321083
t is 2.46; x is -0.0405303
t is 2.47; x is -0.0499315
t is 2.48; x is -0.0603115
t is 2.49; x is -0.0716697
t is 2.5; x is -0.0840053
t is 2.51; x is -0.0973175
t is 2.52; x is -0.111605
t is 2.53; x is -0.126866
t is 2.54; x is -0.1431
t is 2.55; x is -0.160303
t is 2.56; x is -0.178474
t is 2.57; x is -0.197609
t is 2.58; x is -0.217705
t is 2.59; x is -0.238758
t is 2.6; x is -0.260763
t is 2.61; x is -0.283715
t is 2.62; x is -0.307608
t is 2.63; x is -0.332434
t is 2.64; x is -0.358187
t is 2.65; x is -0.384858
t is 2.66; x is -0.412436
t is 2.67; x is -0.440913
t is 2.68; x is -0.470276
t is 2.69; x is -0.500512
t is 2.7; x is -0.531608
t is 2.71; x is -0.563548
t is 2.72; x is -0.596317
t is 2.73; x is -0.629897
t is 2.74; x is -0.664268
t is 2.75; x is -0.699411
t is 2.76; x is -0.735304
t is 2.77; x is -0.771923
t is 2.78; x is -0.809245
t is 2.79; x is -0.847243
t is 2.8; x is -0.885889
t is 2.81; x is -0.925155
t is 2.82; x is -0.965011
t is 2.83; x is -1.00542
t is 2.84; x is -1.04636
t is 2.85; x is -1.08779
t is 2.86; x is -1.12968
t is 2.87; x is -1.17198
t is 2.88; x is -1.21466
t is 2.89; x is -1.25769
t is 2.9; x is -1.30101
t is 2.91; x is -1.3446
t is 2.92; x is -1.38841
t is 2.93; x is -1.43239
t is 2.94; x is -1.47651
t is 2.95; x is -1.52073
t is 2.96; x is -1.56499
t is 2.97; x is -1.60925
t is 2.98; x is -1.65348
t is 2.99; x is -1.69763
t is 3; x is -1.74166
t is 3.01; x is -1.78551
t is 3.02; x is -1.82916
t is 3.03; x is -1.87256
t is 3.04; x is -1.91567
t is 3.05; x is -1.95845
t is 3.06; x is -2.00085
t is 3.07; x is -2.04285
t is 3.08; x is -2.0844
t is 3.09; x is -2.12547
t is 3.1; x is -2.16603
t is 3.11; x is -2.20603
t is 3.12; x is -2.24546
t is 3.13; x is -2.28427
t is 3.14; x is -2.32244
t is 3.15; x is -2.35994
t is 3.16; x is -2.39675
t is 3.17; x is -2.43283
t is 3.18; x is -2.46818
t is 3.19; x is -2.50275
t is 3.2; x is -2.53654
t is 3.21; x is -2.56952
t is 3.22; x is -2.60168
t is 3.23; x is -2.633
t is 3.24; x is -2.66347
t is 3.25; x is -2.69306
t is 3.26; x is -2.72177
t is 3.27; x is -2.74958
t is 3.28; x is -2.77649
t is 3.29; x is -2.80249
t is 3.3; x is -2.82756
t is 3.31; x is -2.8517
t is 3.32; x is -2.8749
t is 3.33; x is -2.89715
t is 3.34; x is -2.91845
t is 3.35; x is -2.9388
t is 3.36; x is -2.95819
t is 3.37; x is -2.97661
t is 3.38; x is -2.99407
t is 3.39; x is -3.01056
t is 3.4; x is -3.02608
t is 3.41; x is -3.04062
t is 3.42; x is -3.05419
t is 3.43; x is -3.06678
t is 3.44; x is -3.0784
t is 3.45; x is -3.08903
t is 3.46; x is -3.09869
t is 3.47; x is -3.10737
t is 3.48; x is -3.11507
t is 3.49; x is -3.12179
t is 3.5; x is -3.12753
t is 3.51; x is -3.13229
t is 3.52; x is -3.13607
t is 3.53; x is -3.13887
t is 3.54; x is -3.14069
t is 3.55; x is -3.14153
t is 3.56; x is -3.14139
t is 3.57; x is -3.14027
t is 3.58; x is -3.13817
t is 3.59; x is -3.13509
t is 3.6; x is -3.13103
t is 3.61; x is -3.12599
t is 3.62; x is -3.11997
t is 3.63; x is -3.11297
t is 3.64; x is -3.10499
t is 3.65; x is -3.09604
t is 3.66; x is -3.0861
t is 3.67; x is -3.07518
t is 3.68; x is -3.06329
t is 3.69; x is -3.05042
t is 3.7; x is -3.03657
t is 3.71; x is -3.02175
t is 3.72; x is -3.00596
t is 3.73; x is -2.98919
t is 3.74; x is -2.97146
t is 3.75; x is -2.95276
t is 3.76; x is -2.9331
t is 3.77; x is -2.91248
t is 3.78; x is -2.8909
t is 3.79; x is -2.86838
t is 3.8; x is -2.84491
t is 3.81; x is -2.82051
t is 3.82; x is -2.79517
t is 3.83; x is -2.76892
t is 3.84; x is -2.74175
t is 3.85; x is -2.71368
t is 3.86; x is -2.68471
t is 3.87; x is -2.65487
t is 3.88; x is -2.62416
t is 3.89; x is -2.5926
t is 3.9; x is -2.5602
t is 3.91; x is -2.52699
t is 3.92; x is -2.49297
t is 3.93; x is -2.45818
t is 3.94; x is -2.42262
t is 3.95; x is -2.38633
t is 3.96; x is -2.34932
t is 3.97; x is -2.31163
t is 3.98; x is -2.27327
t is 3.99; x is -2.23428
t is 4; x is -2.19469
t is 4.01; x is -2.15452
t is 4.02; x is -2.11382
t is 4.03; x is -2.0726
t is 4.04; x is -2.03092
t is 4.05; x is -1.9888
t is 4.06; x is -1.94629
t is 4.07; x is -1.90341
t is 4.08; x is -1.86022
t is 4.09; x is -1.81674
t is 4.1; x is -1.77303
t is 4.11; x is -1.72912
t is 4.12; x is -1.68506
t is 4.13; x is -1.64088
t is 4.14; x is -1.59664
t is 4.15; x is -1.55237
t is 4.16; x is -1.50811
t is 4.17; x is -1.46392
t is 4.18; x is -1.41984
t is 4.19; x is -1.3759
t is 4.2; x is -1.33215
t is 4.21; x is -1.28863
t is 4.22; x is -1.24539
t is 4.23; x is -1.20246
t is 4.24; x is -1.15988
t is 4.25; x is -1.11769
t is 4.26; x is -1.07593
t is 4.27; x is -1.03464
t is 4.28; x is -0.993849
t is 4.29; x is -0.953591
t is 4.3; x is -0.9139
t is 4.31; x is -0.874807
t is 4.32; x is -0.836343
t is 4.33; x is -0.798535
t is 4.34; x is -0.761411
t is 4.35; x is -0.724997
t is 4.36; x is -0.689315
t is 4.37; x is -0.65439
t is 4.38; x is -0.620242
t is 4.39; x is -0.586892
t is 4.4; x is -0.554357
t is 4.41; x is -0.522656
t is 4.42; x is -0.491804
t is 4.43; x is -0.461815
t is 4.44; x is -0.432704
t is 4.45; x is -0.404482
t is 4.46; x is -0.377161
t is 4.47; x is -0.350752
t is 4.48; x is -0.325262
t is 4.49; x is -0.300701
t is 4.5; x is -0.277076
t is 4.51; x is -0.254393
t is 4.52; x is -0.232659
t is 4.53; x is -0.211879
t is 4.54; x is -0.192056
t is 4.55; x is -0.173195
t is 4.56; x is -0.1553
t is 4.57; x is -0.138373
t is 4.58; x is -0.122416
t is 4.59; x is -0.107433
t is 4.6; x is -0.093423
t is 4.61; x is -0.0803891
t is 4.62; x is -0.068332
t is 4.63; x is -0.0572527
t is 4.64; x is -0.0471517
t is 4.65; x is -0.0380296
t is 4.66; x is -0.0298868
t is 4.67; x is -0.0227235
t is 4.68; x is -0.01654
t is 4.69; x is -0.0113364
t is 4.7; x is -0.00711268
t is 4.71; x is -0.00386894
t is 4.72; x is -0.0016052
t is 4.73; x is -0.00032145
t is 4.74; x is -1.77026e-05
t is 4.75; x is -0.000693955
t is 4.76; x is -0.00235021
t is 4.77; x is -0.00498646
t is 4.78; x is -0.00860269
t is 4.79; x is -0.0131989
t is 4.8; x is -0.018775
t is 4.81; x is -0.0253309
t is 4.82; x is -0.0328665
t is 4.83; x is -0.0413816
t is 4.84; x is -0.0508758
t is 4.85; x is -0.0613488
t is 4.86; x is -0.0727999
t is 4.87; x is -0.0852283
t is 4.88; x is -0.0986332
t is 4.89; x is -0.113013
t is 4.9; x is -0.128367
t is 4.91; x is -0.144693
t is 4.92; x is -0.161988
t is 4.93; x is -0.180251
t is 4.94; x is -0.199478
t is 4.95; x is -0.219665
t is 4.96; x is -0.240808
t is 4.97; x is -0.262904
t is 4.98; x is -0.285945
t is 4.99; x is -0.309927
t is 5; x is -0.334842
t is 5.01; x is -0.360682
t is 5.02; x is -0.387439
t is 5.03; x is -0.415104
t is 5.04; x is -0.443665
t is 5.05; x is -0.473112
t is 5.06; x is -0.50343
t is 5.07; x is -0.534607
t is 5.08; x is -0.566627
t is 5.09; x is -0.599474
t is 5.1; x is -0.633129
t is 5.11; x is -0.667575
t is 5.12; x is -0.70279
t is 5.13; x is -0.738753
t is 5.14; x is -0.77544
t is 5.15; x is -0.812827
t is 5.16; x is -0.850888
t is 5.17; x is -0.889594
t is 5.18; x is -0.928918
t is 5.19; x is -0.968828
t is 5.2; x is -1.00929
t is 5.21; x is -1.05028
t is 5.22; x is -1.09175
t is 5.23; x is -1.13368
t is 5.24; x is -1.17602
t is 5.25; x is -1.21874
t is 5.26; x is -1.26179
t is 5.27; x is -1.30514
t is 5.28; x is -1.34875
t is 5.29; x is -1.39258
t is 5.3; x is -1.43658
t is 5.31; x is -1.48071
t is 5.32; x is -1.52493
t is 5.33; x is -1.56919
t is 5.34; x is -1.61346
t is 5.35; x is -1.65768
t is 5.36; x is -1.70182
t is 5.37; x is -1.74583
t is 5.38; x is -1.78967
t is 5.39; x is -1.8333
t is 5.4; x is -1.87667
t is 5.41; x is -1.91975
t is 5.42; x is -1.96249
t is 5.43; x is -2.00486
t is 5.44; x is -2.04682
t is 5.45; x is -2.08833
t is 5.46; x is -2.12935
t is 5.47; x is -2.16985
t is 5.48; x is -2.20981
t is 5.49; x is -2.24917
t is 5.5; x is -2.28792
t is 5.51; x is -2.32603
t is 5.52; x is -2.36347
t is 5.53; x is -2.40021
t is 5.54; x is -2.43622
t is 5.55; x is -2.47149
t is 5.56; x is -2.506
t is 5.57; x is -2.53971
t is 5.58; x is -2.57262
t is 5.59; x is -2.6047
t is 5.6; x is -2.63593
t is 5.61; x is -2.66632
t is 5.62; x is -2.69583
t is 5.63; x is -2.72445
t is 5.64; x is -2.75218
t is 5.65; x is -2.779
t is 5.66; x is -2.80491
t is 5.67; x is -2.82989
t is 5.68; x is -2.85394
t is 5.69; x is -2.87705
t is 5.7; x is -2.89922
t is 5.71; x is -2.92043
t is 5.72; x is -2.94069
t is 5.73; x is -2.95998
t is 5.74; x is -2.97831
t is 5.75; x is -2.99568
t is 5.76; x is -3.01208
t is 5.77; x is -3.0275
t is 5.78; x is -3.04195
t is 5.79; x is -3.05543
t is 5.8; x is -3.06793
t is 5.81; x is -3.07945
t is 5.82; x is -3.08999
t is 5.83; x is -3.09956
t is 5.84; x is -3.10814
t is 5.85; x is -3.11575
t is 5.86; x is -3.12238
t is 5.87; x is -3.12802
t is 5.88; x is -3.13269
t is 5.89; x is -3.13638
t is 5.9; x is -3.13908
t is 5.91; x is -3.14081
t is 5.92; x is -3.14156
t is 5.93; x is -3.14133
t is 5.94; x is -3.14011
t is 5.95; x is -3.13792
t is 5.96; x is -3.13475
t is 5.97; x is -3.13059
t is 5.98; x is -3.12546
t is 5.99; x is -3.11935
t is 6; x is -3.11226
t is 6.01; x is -3.10419
t is 6.02; x is -3.09513
t is 6.03; x is -3.0851
t is 6.04; x is -3.0741
t is 6.05; x is -3.06211
t is 6.06; x is -3.04915
t is 6.07; x is -3.03521
t is 6.08; x is -3.02029
t is 6.09; x is -3.00441
t is 6.1; x is -2.98755
t is 6.11; x is -2.96972
t is 6.12; x is -2.95093
t is 6.13; x is -2.93118
t is 6.14; x is -2.91047
t is 6.15; x is -2.8888
t is 6.16; x is -2.86619
t is 6.17; x is -2.84263
t is 6.18; x is -2.81814
t is 6.19; x is -2.79272
t is 6.2; x is -2.76637
t is 6.21; x is -2.73912
t is 6.22; x is -2.71096
t is 6.23; x is -2.68191
t is 6.24; x is -2.65199
t is 6.25; x is -2.6212
t is 6.26; x is -2.58956
t is 6.27; x is -2.55708
t is 6.28; x is -2.52379
t is 6.29; x is -2.4897
t is 6.3; x is -2.45483
t is 6.31; x is -2.4192
t is 6.32; x is -2.38284
t is 6.33; x is -2.34577
t is 6.34; x is -2.30801
t is 6.35; x is -2.26959
t is 6.36; x is -2.23054
t is 6.37; x is -2.19089
t is 6.38; x is -2.15068
t is 6.39; x is -2.10992
t is 6.4; x is -2.06866
t is 6.41; x is -2.02694
t is 6.42; x is -1.98478
t is 6.43; x is -1.94223
t is 6.44; x is -1.89932
t is 6.45; x is -1.8561
t is 6.46; x is -1.8126
t is 6.47; x is -1.76887
t is 6.48; x is -1.72494
t is 6.49; x is -1.68086
t is 6.5; x is -1.63668
t is 6.51; x is -1.59243
t is 6.52; x is -1.54816
t is 6.53; x is -1.50391
t is 6.54; x is -1.45973
t is 6.55; x is -1.41566
t is 6.56; x is -1.37173
t is 6.57; x is -1.328
t is 6.58; x is -1.28451
t is 6.59; x is -1.2413
t is 6.6; x is -1.1984
t is 6.61; x is -1.15585
t is 6.62; x is -1.1137
t is 6.63; x is -1.07199
t is 6.64; x is -1.03074
t is 6.65; x is -0.989999
t is 6.66; x is -0.949794
t is 6.67; x is -0.910159
t is 6.68; x is -0.871125
t is 6.69; x is -0.832722
t is 6.7; x is -0.794978
t is 6.71; x is -0.75792
t is 6.72; x is -0.721574
t is 6.73; x is -0.685964
t is 6.74; x is -0.651111
t is 6.75; x is -0.617039
t is 6.76; x is -0.583765
t is 6.77; x is -0.551309
t is 6.78; x is -0.519688
t is 6.79; x is -0.488917
t is 6.8; x is -0.459011
t is 6.81; x is -0.429984
t is 6.82; x is -0.401847
t is 6.83; x is -0.374612
t is 6.84; x is -0.34829
t is 6.85; x is -0.322888
t is 6.86; x is -0.298416
t is 6.87; x is -0.27488
t is 6.88; x is -0.252287
t is 6.89; x is -0.230643
t is 6.9; x is -0.209954
t is 6.91; x is -0.190222
t is 6.92; x is -0.171453
t is 6.93; x is -0.15365
t is 6.94; x is -0.136815
t is 6.95; x is -0.120951
t is 6.96; x is -0.106059
t is 6.97; x is -0.0921424
t is 6.98; x is -0.0792013
t is 6.99; x is -0.0672371
t is 7; x is -0.0562507
t is 7.01; x is -0.0462427
t is 7.02; x is -0.0372137
t is 7.03; x is -0.029164
t is 7.04; x is -0.0220938
t is 7.05; x is -0.0160034
t is 7.06; x is -0.0108929
t is 7.07; x is -0.0067623
t is 7.08; x is -0.00361169
t is 7.09; x is -0.00144107
t is 7.1; x is -0.000250449
t is 7.11; x is -3.98282e-05
t is 7.12; x is -0.000809208
t is 7.13; x is -0.00255859
t is 7.14; x is -0.00528796
t is 7.15; x is -0.00899732
t is 7.16; x is -0.0136866
t is 7.17; x is -0.0193559
t is 7.18; x is -0.0260049
t is 7.19; x is -0.0336336
t is 7.2; x is -0.0422417
t is 7.21; x is -0.051829
t is 7.22; x is -0.0623949
t is 7.23; x is -0.0739389
t is 7.24; x is -0.0864602
t is 7.25; x is -0.0999578
t is 7.26; x is -0.114431
t is 7.27; x is -0.129877
t is 7.28; x is -0.146295
t is 7.29; x is -0.163682
t is 7.3; x is -0.182037
t is 7.31; x is -0.201355
t is 7.32; x is -0.221633
t is 7.33; x is -0.242867
t is 7.34; x is -0.265053
t is 7.35; x is -0.288184
t is 7.36; x is -0.312254
t is 7.37; x is -0.337258
t is 7.38; x is -0.363186
t is 7.39; x is -0.39003
t is 7.4; x is -0.41778
t is 7.41; x is -0.446426
t is 7.42; x is -0.475955
t is 7.43; x is -0.506356
t is 7.44; x is -0.537614
t is 7.45; x is -0.569713
t is 7.46; x is -0.602637
t is 7.47; x is -0.636369
t is 7.48; x is -0.670889
t is 7.49; x is -0.706176
t is 7.5; x is -0.742208
t is 7.51; x is -0.778963
t is 7.52; x is -0.816415
t is 7.53; x is -0.854539
t is 7.54; x is -0.893305
t is 7.55; x is -0.932686
t is 7.56; x is -0.97265
t is 7.57; x is -1.01317
t is 7.58; x is -1.0542
t is 7.59; x is -1.09572
t is 7.6; x is -1.13769
t is 7.61; x is -1.18006
t is 7.62; x is -1.22281
t is 7.63; x is -1.2659
t is 7.64; x is -1.30928
t is 7.65; x is -1.35291
t is 7.66; x is -1.39676
t is 7.67; x is -1.44077
t is 7.68; x is -1.48491
t is 7.69; x is -1.52914
t is 7.7; x is -1.5734
t is 7.71; x is -1.61766
t is 7.72; x is -1.66188
t is 7.73; x is -1.70601
t is 7.74; x is -1.75001
t is 7.75; x is -1.79383
t is 7.76; x is -1.83743
t is 7.77; x is -1.88078
t is 7.78; x is -1.92383
t is 7.79; x is -1.96654
t is 7.8; x is -2.00887
t is 7.81; x is -2.05078
t is 7.82; x is -2.09225
t is 7.83; x is -2.13322
t is 7.84; x is -2.17367
t is 7.85; x is -2.21357
t is 7.86; x is -2.25288
t is 7.87; x is -2.29157
t is 7.88; x is -2.32962
t is 7.89; x is -2.36699
t is 7.9; x is -2.40366
t is 7.91; x is -2.43961
t is 7.92; x is -2.47481
t is 7.93; x is -2.50923
t is 7.94; x is -2.54287
t is 7.95; x is -2.5757
t is 7.96; x is -2.6077
t is 7.97; x is -2.63886
t is 7.98; x is -2.66916
t is 7.99; x is -2.69858
t is 8; x is -2.72713
t is 8.01; x is -2.75477
t is 8.02; x is -2.78151
t is 8.03; x is -2.80733
t is 8.04; x is -2.83222
t is 8.05; x is -2.85618
t is 8.06; x is -2.8792
t is 8.07; x is -2.90127
t is 8.08; x is -2.9224
t is 8.09; x is -2.94256
t is 8.1; x is -2.96177
t is 8.11; x is -2.98001
t is 8.12; x is -2.99728
t is 8.13; x is -3.01358
t is 8.14; x is -3.02892
t is 8.15; x is -3.04327
t is 8.16; x is -3.05666
t is 8.17; x is -3.06906
t is 8.18; x is -3.08049
t is 8.19; x is -3.09094
t is 8.2; x is -3.10041
t is 8.21; x is -3.10891
t is 8.22; x is -3.11642
t is 8.23; x is -3.12295
t is 8.24; x is -3.12851
t is 8.25; x is -3.13308
t is 8.26; x is -3.13668
t is 8.27; x is -3.13929
t is 8.28; x is -3.14092
t is 8.29; x is -3.14158
t is 8.3; x is -3.14125
t is 8.31; x is -3.13995
t is 8.32; x is -3.13766
t is 8.33; x is -3.1344
t is 8.34; x is -3.13015
t is 8.35; x is -3.12492
t is 8.36; x is -3.11872
t is 8.37; x is -3.11153
t is 8.38; x is -3.10337
t is 8.39; x is -3.09422
t is 8.4; x is -3.0841
t is 8.41; x is -3.073
t is 8.42; x is -3.06092
t is 8.43; x is -3.04786
t is 8.44; x is -3.03383
t is 8.45; x is -3.01883
t is 8.46; x is -3.00285
t is 8.47; x is -2.9859
t is 8.48; x is -2.96798
t is 8.49; x is -2.9491
t is 8.5; x is -2.92925
t is 8.51; x is -2.90845
t is 8.52; x is -2.8867
t is 8.53; x is -2.86399
t is 8.54; x is -2.84035
t is 8.55; x is -2.81576
t is 8.56; x is -2.79025
t is 8.57; x is -2.76382
t is 8.58; x is -2.73648
t is 8.59; x is -2.70824
t is 8.6; x is -2.67911
t is 8.61; x is -2.6491
t is 8.62; x is -2.61823
t is 8.63; x is -2.58651
t is 8.64; x is -2.55395
t is 8.65; x is -2.52059
t is 8.66; x is -2.48642
t is 8.67; x is -2.45148
t is 8.68; x is -2.41578
t is 8.69; x is -2.37935
t is 8.7; x is -2.34221
t is 8.71; x is -2.30439
t is 8.72; x is -2.26591
t is 8.73; x is -2.2268
t is 8.74; x is -2.1871
t is 8.75; x is -2.14683
t is 8.76; x is -2.10602
t is 8.77; x is -2.06472
t is 8.78; x is -2.02295
t is 8.79; x is -1.98075
t is 8.8; x is -1.93817
t is 8.81; x is -1.89523
t is 8.82; x is -1.85198
t is 8.83; x is -1.80845
t is 8.84; x is -1.7647
t is 8.85; x is -1.72076
t is 8.86; x is -1.67667
t is 8.87; x is -1.63248
t is 8.88; x is -1.58822
t is 8.89; x is -1.54395
t is 8.9; x is -1.49971
t is 8.91; x is -1.45554
t is 8.92; x is -1.41147
t is 8.93; x is -1.36757
t is 8.94; x is -1.32386
t is 8.95; x is -1.28039
t is 8.96; x is -1.2372
t is 8.97; x is -1.19434
t is 8.98; x is -1.15183
t is 8.99; x is -1.10972
t is 9; x is -1.06805
t is 9.01; x is -1.02685
t is 9.02; x is -0.986155
t is 9.03; x is -0.946003
t is 9.04; x is -0.906423
t is 9.05; x is -0.867448
t is 9.06; x is -0.829106
t is 9.07; x is -0.791426
t is 9.08; x is -0.754435
t is 9.09; x is -0.718158
t is 9.1; x is -0.682619
t is 9.11; x is -0.64784
t is 9.12; x is -0.613842
t is 9.13; x is -0.580645
t is 9.14; x is -0.548268
t is 9.15; x is -0.516727
t is 9.16; x is -0.486037
t is 9.17; x is -0.456215
t is 9.18; x is -0.427272
t is 9.19; x is -0.39922
t is 9.2; x is -0.372072
t is 9.21; x is -0.345836
t is 9.22; x is -0.320522
t is 9.23; x is -0.296139
t is 9.24; x is -0.272692
t is 9.25; x is -0.25019
t is 9.26; x is -0.228636
t is 9.27; x is -0.208037
